height_cm,media,price_gbp,title,url,width_cm
56,Pencil on Arches paper,3200,ANGEL HEART by Bella Easton,https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,41
110,"Oil paint, spray paint & gold leaf on board",1600,Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,130
42,"Oil paint, spray paint & gold leaf on board",340,Another Sunset by Lucy Baker,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,34
125,Digital print on canvas with hand dissoved ink,1400,Amongst the Impcat Scars by Jane Ward,https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,90
99,"Oil, enamel and acrylic on canvas",1600,Anxiety Machines by Chris Hawtin,https://www.bearspace.co.uk/product-page/anxiety-machines,99
70,Digital print on Canvas with hand dissolved ink,840,And The Sunset by Jane Ward,https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,90
40,Digital print on canvas with hand dissolved ink,290,Alpine 3 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,30
40,Digital print on canvas with hand dissolved ink,290,Alpine 4 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward,30
40,Digital print on canvas with hand dissolved ink,290,Alpine 2 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,30
40.9,Set of four,1200,All Recognisable Entities by Elise Wootten,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,50.2
40,Digital print on canvas with hand dissolved ink,290,Alpine 1 by Jane Ward,https://www.bearspace.co.uk/product-page/alpine-1-by-jane-ward,30
